,NUMERO CLIENTE,Cuatrimestre,N° Factura,SKU,Cantidad,Precio Unitario,Tipo cbio. Prom.Mes,Kilos,USD TC Prom.Mes,Rubro,Provincia,Condición de pago,Devoluciones,Kilos_Promedio,Kilos_Maximo,Kilos_Minimo,Frecuencia,USD/Ton,Indice devoluciones,Target
12,2.0,1,28,11,229706.0,14.430050000000003,40.075637500000006,71483.88889999999,87243.91004676,Productos Lacteos,Córdoba,15.0,0,2552.9960321428566,7139.7183,0.0001,4,1192.2276804484693,0.0,0
13,2.0,2,33,10,241000.0,13.672318181818177,42.84558939393942,70708.1285,75829.1990515,Productos Lacteos,Córdoba,15.0,0,2142.670560606061,6490.653,204.2754,4,1065.1655184747683,0.0,0
14,2.0,3,44,10,296350.0,14.43646363636363,43.18791818181822,93447.2265,98244.29791070003,Productos Lacteos,Córdoba,15.0,1,2123.8006022727272,6923.3632,-281.2616,4,1048.9628968646177,0.022727272727272728,0
15,2.0,4,61,11,508528.0,13.100527868852465,43.12353770491802,141949.19889999996,149349.9460865,Productos Lacteos,Córdoba,15.0,1,2327.036047540983,7788.7836,-281.2616,4,1047.6934237740104,0.01639344262295082,0
16,2.0,5,61,10,533370.0,13.28879016393443,45.30307775147539,149025.55756499994,150919.980867,Productos Lacteos,Córdoba,15.0,1,2443.0419272950808,7788.7836,-281.2616,4,1016.6952645187372,0.01639344262295082,0
21,2.0,10,66,11,747924.0,17.534727272727263,59.372724242424304,196885.75283,212948.05635340002,Productos Lacteos,Córdoba,15.0,1,2983.1174671212125,7475.068705,-220.5706,4,1085.8486140635575,0.015151515151515152,0
22,2.0,11,53,10,662479.0,17.270037735849048,60.214443396226436,166989.81132600002,183509.96766640004,Productos Lacteos,Córdoba,15.0,1,3150.75115709434,10488.4556,-220.5706,4,1108.2826372952395,0.018867924528301886,0
23,2.0,12,60,11,740856.0,16.62386666666666,61.39860333333334,179006.548344,192387.8437446,Productos Lacteos,Córdoba,15.0,1,2983.4424724,10488.4556,-220.5706,4,1087.9750914994127,0.016666666666666666,0
24,2.0,13,65,13,858933.0,370.29726153846156,62.64039923076919,205193.6542,217170.9968035,Productos Lacteos,Córdoba,15.0,1,3156.825449230769,10488.4556,-220.5706,4,1081.3840631905487,0.015384615384615385,0
25,2.0,14,71,12,1044046.0,990.971014084507,64.80966126760559,247854.70787440005,254477.69568023,Productos Lacteos,Córdoba,15.0,1,3490.9113785126765,10488.4556,-432.7102,4,1050.6257298383864,0.014084507042253521,0
